federalDistrictId,name,code
1,Белгородская область,31
1,Брянская область,32
1,Владимирская область,33
1,Воронежская область,36
1,Ивановская область,37
1,Калужская область,40
1,Костромская область,44
1,Курская область,46
1,Липецкая область,48
1,Московская область,50
1,Орловская область,57
1,Рязанская область,62
1,Смоленская область,67
1,Тамбовская область,68
1,Тверская область,69
1,Тульская область,71
1,Ярославская область,76
1,г. Москва,77
2,Республика Карелия,10
2,Республика Коми,11
2,Архангельская область,29
2,Ненецкий автономный округ,83
2,Вологодская область,35
2,Калининградская область,39
2,Ленинградская область,47
2,Мурманская область,51
2,Новгородская область,53
2,Псковская область,60
2,г. Санкт-Петербург,78
3,Республика Адыгея,1
3,Республика Калмыкия,8
3,Краснодарский край,23
3,Астраханская область,30
3,Волгоградская область,34
3,Ростовская область,61
8,Республика Дагестан,5
8,Республика Ингушетия,6
8,Кабардино-Балкарская Республика,7
8,Карачаево-Черкесская Республика,9
8,Республика Северная Осетия-Алания,15
8,Чеченская Республика,20
8,Ставропольский край,26
4,Республика Башкортостан,2
4,Республика Марий Эл,12
4,Республика Мордовия,13
4,Республика Татарстан,16
4,Удмуртская Республика,18
4,Чувашская Республика,21
4,Пермский край,59
4,Кировская область,43
4,Нижегородская область,52
4,Оренбургская область,56
4,Пензенская область,58
4,Самарская область,63
4,Саратовская область,64
4,Ульяновская область,73
5,Курганская область,45
5,Свердловская область,66
5,Тюменская область,72
5,Ханты-Мансийский автономный округ,86
5,Ямало-Ненецкий автономный округ,89
5,Челябинская область,74
6,Республика Алтай,4
6,Республика Бурятия,3
6,Республика Тыва,17
6,Республика Хакасия,19
6,Алтайский край,22
6,Забайкальский край,75
6,Красноярский край,24
6,Иркутская область,38
6,Кемеровская область,42
6,Новосибирская область,54
6,Омская область,55
6,Томская область,70
7,Республика Саха (Якутия),14
7,Камчатский край,41
7,Приморский край,25
7,Хабаровский край,27
7,Амурская область,28
7,Магаданская область,49
7,Сахалинская область,65
7,Еврейская автономная область,79
7,Чукотский автономный округ,87
3,г. Севастополь,92
3,Республика Крым,91
0,"Иные территории, включая город и космодром Байконур",99
